Epoch,Time,Avg_Train_Loss,Train_Accuracy@1,Train_Accuracy@2,Train_Accuracy@3,Train_Accuracy@4,Train_Accuracy@5,Train_Accuracy@6,Train_Accuracy@7,Train_Accuracy@8,Train_Accuracy@9,Train_Accuracy@10,Avg_Valid_Loss,Valid_Accuracy@1,Valid_Accuracy@2,Valid_Accuracy@3,Valid_Accuracy@4,Valid_Accuracy@5,Valid_Accuracy@6,Valid_Accuracy@7,Valid_Accuracy@8,Valid_Accuracy@9,Valid_Accuracy@10
0.0,14.432669401168823,0.312193190412862,0.7672338117845356,0.7583462758921087,0.7662651423098785,0.7678708769048431,0.7683171562717429,0.753023468889296,0.7576156138841595,0.7626631002474044,0.7611015594697425,0.7492178454995155,0.1459544850513339,0.8591482442617416,0.8243374216556549,0.821172822713852,0.8604581850767136,0.8495356440544128,0.8476325243711471,0.8547673565149307,0.8903443199396134,0.8901234012842179,0.8718134224414825
1.0,14.779786109924316,0.08848588334928666,0.861954113801143,0.8626659447327256,0.8667608313262463,0.8599074875403728,0.858256961684674,0.8593204003492636,0.8696130753627845,0.86765580843868,0.8640833517004337,0.8649366060937089,0.07982693985104561,0.836423659324646,0.8537096893787384,0.8959601581096649,0.8630693864822387,0.8326048409938812,0.8476561260223389,0.8670682191848755,0.8376872754096985,0.8421576273441315,0.8680112266540527
2.0,14.193857669830322,0.03731374013503747,0.8831728597038558,0.8859263371144023,0.8859095001992371,0.8810199309539583,0.8864251722448638,0.8850448726277266,0.8842605776818735,0.8812105829295304,0.8813414203136095,0.8785819076001644,0.03510862711118534,0.8661986351013183,0.8595043277740478,0.8854890155792237,0.8833339315652847,0.8657871836423874,0.871902836561203,0.8874920642375946,0.887230618596077,0.8827286893129349,0.9030575466156006
3.0,15.955367088317871,0.03507679581109967,0.8876180049431112,0.8870776521175036,0.8871611139870116,0.8858830330760351,0.8879345184458154,0.88593714072236,0.8878502622246742,0.8857708821472313,0.886106147297791,0.8819726712203452,0.03784706845181063,0.861931539773941,0.8599366080760956,0.890339788198471,0.8833083218336105,0.8604942381381988,0.868629744052887,0.8864184784889221,0.8800550121068954,0.8784175503253937,0.8995557475090027
4.0,14.696649551391602,0.03542457028691258,0.887656140008143,0.885312466483031,0.8862205259501934,0.8848017438847039,0.8869571111031941,0.8861602364507105,0.8864511528185436,0.8853671538111355,0.8850632953856673,0.8834583615618092,0.05322545533999801,0.8700012868642807,0.8586395847797393,0.8773445820808411,0.8818816953897476,0.8707818239927292,0.8745329797267913,0.8875402748584748,0.8965519517660141,0.8886593037843704,0.9060956013202667
5.0,16.940399646759033,0.035119671640651565,0.8873424636466163,0.8876936205529741,0.8893103074681546,0.8860005801543593,0.8881878023301917,0.8873647297067302,0.887303415552846,0.8846816972696355,0.8865045202629906,0.8838123925296324,0.03579816682031378,0.8570560848712921,0.8598616826534271,0.8944969654083252,0.880906166434288,0.8549187815189362,0.8645296323299408,0.8835570740699769,0.872274711728096,0.8727579134702682,0.8939034485816956
6.0,14.860832929611206,0.03322410054637918,0.8872395356717918,0.8858309241810015,0.8875259453696864,0.8840586713382176,0.886646435729095,0.8855491486777153,0.8860395046483193,0.883764353713819,0.8836696867032775,0.8825119020683425,0.03496546158567071,0.8603416585922241,0.8578895962238312,0.8920452606678009,0.8808474034070969,0.8546018064022064,0.8676269173622131,0.8846536660194397,0.8754775685071945,0.8739410084486008,0.8946382331848145
7.0,15.256638526916504,0.0250976059219933,0.8808802107482084,0.8802984010295144,0.8821900122399841,0.8808183892230902,0.8813476219906339,0.879775815443801,0.8828485923420105,0.8821138011823807,0.881949192445193,0.8783163828110057,0.01969076879322529,0.8576976764202118,0.8451878094673156,0.8784653651714325,0.8680839198827743,0.8405407887697219,0.8650290882587433,0.8830656909942627,0.8802608805894852,0.8730366802215577,0.8863717269897461
8.0,14.307685375213623,0.01718975033145398,0.8756230987741479,0.8758839410729706,0.8787541521180954,0.8778025368893785,0.8769448945032698,0.8750579192835305,0.8784533035276192,0.8762424296832511,0.8752531217012022,0.8742187430949083,0.01999770011752844,0.8597884023189545,0.8431591117382049,0.8699378073215485,0.8695073062181473,0.8477089494466782,0.8653146004676819,0.8842149412631989,0.887718340754509,0.8795609712600708,0.8906795263290406
9.0,15.007556676864624,0.014356541014941675,0.8776815290828901,0.8793685502771821,0.8817276374569961,0.8793075314190771,0.878781643230468,0.8774752590938338,0.8806933631588306,0.8783078236904528,0.8758972794083613,0.8753534636593291,0.02600332349538803,0.8566334450244903,0.8488985872268677,0.8801936066150665,0.87488864839077,0.8484095764160157,0.8690065813064575,0.8872297668457031,0.8842504268884659,0.8748150354623795,0.8919555222988129
10.0,14.824464082717896,0.012411006393709354,0.8802315435771432,0.882049471472523,0.8839375503095133,0.8810969867876598,0.8820214909501374,0.8807540042325854,0.8834425885496395,0.8813411622707333,0.879836263733783,0.8786360485745328,0.015035186428576708,0.8592124807834626,0.853709671497345,0.8833557140827178,0.8794602137804032,0.8538124310970306,0.8706845772266388,0.8881410956382751,0.8849508482217788,0.8782410979270935,0.897848881483078
11.0,14.596327781677246,0.012506773761872734,0.8840790639764496,0.8841819266256478,0.8845018431145165,0.883500298618206,0.8839344500031855,0.8820813831740192,0.8840870838612318,0.8809023453587932,0.8812956494678345,0.8790314595348069,0.019874645164236426,0.8581784564256668,0.8561137771606445,0.8910027980804444,0.8801892083883286,0.8522323298454285,0.8668934452533722,0.8843443214893341,0.875143831372261,0.8728223335742951,0.8934763646125794
12.0,14.509809970855713,0.011665094111646925,0.885994556825608,0.8858819871342608,0.8861926285816091,0.8844846604791071,0.8858722514206809,0.8846684357683573,0.8859165647466268,0.8832731169116285,0.8832985493354499,0.8808308696773436,0.011757573811337352,0.8641234147548675,0.8566337192058563,0.8818308281898498,0.8823977810144424,0.862745469212532,0.8731107366085052,0.8887464582920075,0.8901437932252884,0.8829019838571548,0.9029608166217804
13.0,13.675737619400024,0.010682543473584312,0.8855977601903889,0.8863308445683548,0.8862921217722552,0.8846476653457752,0.8863803480219629,0.8851616586159382,0.8864384160510131,0.883641774433532,0.8842377170388188,0.8816779023036361,0.010870448080822825,0.8663491380214691,0.858849366903305,0.8840252137184144,0.8837569755315781,0.8661930423974991,0.8725866937637329,0.8881084609031678,0.8888412374258041,0.8832006567716598,0.9033327269554138
14.0,15.147462844848633,0.010287566293430115,0.8868716405704618,0.8874610418985996,0.8878762382747871,0.885641371964344,0.8872101039492658,0.8865135164399233,0.8876553125945585,0.885243090734418,0.8851829785188394,0.8838360667494791,0.013196736807003617,0.862952390909195,0.8594721341133118,0.8895504450798035,0.8837507110834122,0.8613174992799759,0.8692957055568695,0.8863141596317291,0.8811982089281082,0.8787695753574372,0.8994796359539032
